106	1	1	500720	經費類	500718
106	1	2	500721	經費類	500719
106	1	3	500722	經費類	500720
106	1	4	500723	經費類	500721
106	1	6	500724	經費類	500722
106	1	7	500725	經費類	500723
106	1	8	500726	經費類	500724
106	1	9	500727	經費類	500725
106	1	10	500728	經費類	500726
106	1	11	500729	經費類	500727
106	1	12	500730	經費類	500728
106	1	13	500731	經費類	500729
106	1	14	500732	經費類	500730
106	1	15	500733	經費類	500731
106	1	16	500734	經費類	500732
106	1	17	500735	經費類	500733
106	1	18	500736	經費類	500734
106	1	19	500737	經費類	500735
106	1	5	500738	經費類	500736
