105	1	25	101061	經費類	100975
105	1	1	506078	經費類	506066
105	1	2	506079	經費類	506067
105	1	3	506080	經費類	506068
105	1	4	506081	經費類	506069
105	1	5	506082	經費類	506070
105	1	6	506083	經費類	506071
105	1	7	506084	經費類	506072
105	1	8	506085	經費類	506073
105	1	9	506086	經費類	506074
105	1	10	506087	經費類	506075
105	1	11	506088	經費類	506076
105	1	12	506089	經費類	506077
105	1	13	506090	經費類	506078
105	1	14	506091	經費類	506079
105	1	15	506092	經費類	506080
105	1	16	506093	經費類	506081
105	1	17	506094	經費類	506082
105	1	18	506095	經費類	506083
105	1	19	506096	經費類	506084
105	1	20	506097	經費類	506085
105	1	21	600580	經費類	600580
105	1	23	600581	經費類	600581
105	1	24	600582	經費類	600582
