106	1	1	500648	經費類	500646
106	1	2	500649	經費類	500647
106	1	3	500650	經費類	500648
106	1	4	500651	經費類	500649
106	1	5	500652	經費類	500650
106	1	6	500653	經費類	500651
106	1	7	500654	經費類	500652
106	1	8	500655	經費類	500653
106	1	9	500656	經費類	500654
106	1	10	500657	經費類	500655
106	1	11	500658	經費類	500656
106	1	12	500659	經費類	500657
106	1	13	500660	經費類	500658
106	1	15	500661	經費類	500659
106	1	16	500662	經費類	500660
106	1	17	500663	經費類	500661
106	1	18	500664	經費類	500662
106	1	19	500665	經費類	500663
106	1	20	500666	經費類	500664
106	1	21	500667	經費類	500665
106	1	22	500668	經費類	500666
106	1	23	500669	經費類	500667
